,Incident ID,Year,Street Name,Cross Street,Distance,Junction Relation,Total Injuries,Total Fatalities,Injury Severity,Collision Manner,Light Condition,Weather,Surface Condition,Age Driver 1,Gender Driver 1,Travel Direction One,Unit Action One,Violation1_Drv1,Alcohol Use Driver 1,Drug Use Driver 1,Age Driver 2,Gender Driver 2,Travel Direction Two,Unit Action Two,Violation 1 Driver 2,Alcohol Use Driver 2,Drug Use Driver 2,Latitude,Longitude,Date,Time
32364,3470796,2019,Priest Dr,Center Pkwy,0.0,Intersection 4 Way 202,1.0,0.0,Suspected Minor Injury,Left Turn,Daylight,Clear,Dry,28.0,Female,North,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,40.0,Male,South,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.44452,-111.95492,2019-01-08,15:29:00
32366,3471069,2019,Rio Salado Pkwy,Packard Dr,-0.25,Not Junction Related,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,20.0,Female,West,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,22.0,Female,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42941,-111.93348,2019-01-08,15:35:00
32368,3470925,2019,Baseline Rd,Hardy Dr,90.0,Intersection Related 206,2.0,0.0,Suspected Minor Injury,Other,Daylight,Clear,Dry,29.0,Female,West,Going Straight Ahead,Speed To Fast For Conditions,No Apparent Influence,No Apparent Influence,41.0,Male,West,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.37821,-111.95222,2019-01-08,16:38:00
32374,3484235,2019,Rural Rd,University Dr,105.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,21.0,Male,South,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,27.0,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.42232,-111.92631,2019-01-08,21:56:00
32375,3470894,2019,Fairmont Dr,48th St,45.0,Intersection Related 206,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,29.0,Male,West,Making Right Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,17.0,Female,North,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39641,-111.97818,2019-01-08,22:21:00
32376,3479041,2019,Baseline Rd,Darrow Dr,-162.0,Driveway Or Alley,0.0,0.0,No Injury,Angle - Other Than Left Turn 2,Daylight,Clear,Dry,18.0,Female,North,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,21.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.37824,-111.96166,2019-01-08,22:44:00
32377,3470923,2019,Apache Blvd,Rural Rd,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,18.0,Male,West,Making Left Turn,Followed Too Closely,No Apparent Influence,No Apparent Influence,21.0,Male,West,Slowing In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.41476,-111.92629,2019-01-08,22:55:00
32378,3470916,2019,Rural Rd,Westchester Dr,-97.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,16.0,Female,North,Slowing In Trafficway,Followed Too Closely,No Apparent Influence,No Apparent Influence,74.0,Male,North,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.36712,-111.92863,2019-01-09,00:02:00
32379,3470922,2019,52nd St,Broadway Rd,119.0,Intersection Related 206,0.0,0.0,No Injury,Rear End,Daylight,Clear,Dry,22.0,Female,South,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,31.0,Male,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.40957,-111.96954,2019-01-09,00:16:00
32380,3479027,2019,Mill Ave,Hermosa Dr,47.0,Intersection Related 206,2.0,0.0,Possible Injury,Rear End,Dark Lighted,Clear,Dry,19.0,Male,South,Going Straight Ahead,Followed Too Closely,No Apparent Influence,No Apparent Influence,24.0,Female,South,Stopped In Trafficway,No Improper Action,No Apparent Influence,No Apparent Influence,33.38834,-111.93953,2019-01-09,00:54:00
32386,3478843,2019,Baseline Rd,I-10 Exit 155 J1-Ramp,0.0,Intersection 4 Way 202,0.0,0.0,No Injury,Left Turn,Dark Lighted,Clear,Dry,57.0,Male,West,Going Straight Ahead,Disregarded Traffic Signal,No Apparent Influence,No Apparent Influence,33.0,Male,Northeast,Making Left Turn,No Improper Action,No Apparent Influence,No Apparent Influence,33.3783,-111.96738,2019-01-09,04:32:00
32387,3478883,2019,Southern Ave,College Ave,0.0,Intersection 4 Way 202,1.0,0.0,Possible Injury,Left Turn,Dark Lighted,Clear,Dry,19.0,Male,West,Making Left Turn,Failed To Yield Right Of Way,No Apparent Influence,No Apparent Influence,34.0,Female,East,Going Straight Ahead,No Improper Action,No Apparent Influence,No Apparent Influence,33.39291,-111.93492,2019-01-09,05:06:00
